branch,loopid,choice,click_count,survey_start,qstart,qend
1,QID10,1,2,2016-03-23 07:45:21.961,2016-03-24 00:34:10.687,2016-03-24 00:34:25.130
2,QID10,1,2,2016-04-21 01:17:35.841,2016-04-21 01:26:20.510,2016-04-21 01:26:57.427
1,QID10,1,2,2016-04-26 06:32:41.676,2016-04-26 06:35:03.460,2016-04-26 06:35:15.105
2,QID11,1,2,2016-03-23 04:14:47.251,2016-03-23 04:16:25.011,2016-03-23 04:16:30.671
1,QID11,1,2,2016-03-23 04:30:57.181,2016-03-23 04:33:18.626,2016-03-23 04:33:24.961
2,QID11,1,2,2016-03-23 07:45:34.555,2016-03-23 07:49:05.932,2016-03-23 07:49:13.437
3,QID11,1,2,2016-03-23 07:59:20.286,2016-03-23 08:02:01.161,2016-03-23 08:02:06.442
3,QID11,1,2,2016-03-24 00:18:05.009,2016-03-24 00:22:13.009,2016-03-24 00:22:52.752
1,QID11,1,4,2016-03-23 07:45:21.961,2016-03-24 00:34:25.453,2016-03-24 00:34:48.763
2,QID11,1,2,2016-04-21 01:17:35.841,2016-04-21 01:26:57.615,2016-04-21 01:27:06.391
1,QID11,1,2,2016-04-26 06:32:41.676,2016-04-26 06:35:15.403,2016-04-26 06:35:30.354
2,QID12,1,2,2016-03-23 04:14:47.251,2016-03-23 04:16:30.945,2016-03-23 04:16:42.358
1,QID12,1,2,2016-03-23 04:30:57.181,2016-03-23 04:33:25.282,2016-03-23 04:33:28.899
2,QID12,1,2,2016-03-23 07:45:34.555,2016-03-23 07:49:13.731,2016-03-23 07:49:18.813
3,QID12,1,2,2016-03-23 07:59:20.286,2016-03-23 08:02:06.738,2016-03-23 08:02:12.816
3,QID12,1,2,2016-03-24 00:18:05.009,2016-03-24 00:22:53.053,2016-03-24 00:23:07.486
1,QID12,1,2,2016-03-23 07:45:21.961,2016-03-24 00:34:49.064,2016-03-24 00:35:04.396
2,QID12,1,1,2016-04-21 01:17:35.841,2016-04-21 01:27:06.554,2016-04-21 01:27:16.203
1,QID12,1,2,2016-04-26 06:32:41.676,2016-04-26 06:35:30.676,2016-04-26 06:35:39.879
1,QID17,2,2,2016-03-23 04:30:57.181,2016-03-23 04:31:06.640,2016-03-23 04:31:10.867
2,QID17,2,2,2016-03-23 07:45:34.555,2016-03-23 07:47:09.880,2016-03-23 07:47:20.265
3,QID17,2,2,2016-03-23 07:59:20.286,2016-03-23 07:59:46.464,2016-03-23 07:59:54.789
3,QID17,2,1,2016-03-24 00:18:05.009,2016-03-24 00:19:22.303,2016-03-24 00:19:28.514
1,QID17,2,2,2016-03-23 07:45:21.961,2016-03-24 00:30:03.368,2016-03-24 00:30:11.574
2,QID17,2,1,2016-04-21 01:17:35.841,2016-04-21 01:23:15.953,2016-04-21 01:23:24.251
1,QID17,2,2,2016-04-26 06:32:41.676,2016-04-26 06:32:54.992,2016-04-26 06:33:02.110
1,QID18,3,2,2016-03-23 04:30:57.181,2016-03-23 04:31:11.175,2016-03-23 04:31:16.129
2,QID18,3,2,2016-03-23 07:45:34.555,2016-03-23 07:47:20.508,2016-03-23 07:47:25.789
3,QID18,3,2,2016-03-23 07:59:20.286,2016-03-23 07:59:55.083,2016-03-23 08:00:00.734
3,QID18,3,2,2016-03-24 00:18:05.009,2016-03-24 00:19:28.779,2016-03-24 00:19:39.445
1,QID18,3,2,2016-03-23 07:45:21.961,2016-03-24 00:30:11.894,2016-03-24 00:30:25.844
2,QID18,3,2,2016-04-21 01:17:35.841,2016-04-21 01:23:24.435,2016-04-21 01:23:39.447
1,QID18,3,2,2016-04-26 06:32:41.676,2016-04-26 06:33:02.386,2016-04-26 06:33:07.235
1,QID19,4,2,2016-03-23 04:30:57.181,2016-03-23 04:31:16.400,2016-03-23 04:31:20.406
2,QID19,4,2,2016-03-23 07:45:34.555,2016-03-23 07:47:26.068,2016-03-23 07:47:32.812
3,QID19,4,2,2016-03-23 07:59:20.286,2016-03-23 08:00:01.057,2016-03-23 08:00:05.788
3,QID19,4,2,2016-03-24 00:18:05.009,2016-03-24 00:19:39.707,2016-03-24 00:19:43.445
1,QID19,4,2,2016-03-23 07:45:21.961,2016-03-24 00:30:26.130,2016-03-24 00:30:37.617
2,QID19,4,1,2016-04-21 01:17:35.841,2016-04-21 01:23:39.620,2016-04-21 01:23:59.250
1,QID19,4,2,2016-04-26 06:32:41.676,2016-04-26 06:33:07.515,2016-04-26 06:33:10.702
1,QID20,2,2,2016-03-23 04:30:57.181,2016-03-23 04:31:31.682,2016-03-23 04:31:35.196
2,QID20,2,2,2016-03-23 07:45:34.555,2016-03-23 07:47:42.639,2016-03-23 07:47:47.273
3,QID20,2,2,2016-03-23 07:59:20.286,2016-03-23 08:00:31.789,2016-03-23 08:00:43.618
3,QID20,2,2,2016-03-24 00:18:05.009,2016-03-24 00:19:51.866,2016-03-24 00:19:55.614
1,QID20,2,2,2016-03-23 07:45:21.961,2016-03-24 00:30:46.765,2016-03-24 00:30:55.547
2,QID20,2,2,2016-04-21 01:17:35.841,2016-04-21 01:24:07.736,2016-04-21 01:24:16.354
1,QID20,2,2,2016-04-26 06:32:41.676,2016-04-26 06:33:16.547,2016-04-26 06:33:18.977
1,QID21,3,2,2016-03-23 04:30:57.181,2016-03-23 04:31:35.471,2016-03-23 04:31:38.250
2,QID21,3,2,2016-03-23 07:45:34.555,2016-03-23 07:47:47.582,2016-03-23 07:47:52.469
3,QID21,3,2,2016-03-23 07:59:20.286,2016-03-23 08:00:43.914,2016-03-23 08:00:47.876
3,QID21,3,2,2016-03-24 00:18:05.009,2016-03-24 00:19:55.938,2016-03-24 00:20:01.215
1,QID21,3,2,2016-03-23 07:45:21.961,2016-03-24 00:30:55.814,2016-03-24 00:31:02.585
2,QID21,3,1,2016-04-21 01:17:35.841,2016-04-21 01:24:16.553,2016-04-21 01:24:28.280
1,QID21,3,2,2016-04-26 06:32:41.676,2016-04-26 06:33:19.257,2016-04-26 06:33:23.532
1,QID22,4,2,2016-03-23 04:30:57.181,2016-03-23 04:31:38.513,2016-03-23 04:31:42.000
2,QID22,4,2,2016-03-23 07:45:34.555,2016-03-23 07:47:52.777,2016-03-23 07:47:56.546
3,QID22,4,2,2016-03-23 07:59:20.286,2016-03-23 08:00:48.173,2016-03-23 08:00:52.392
3,QID22,4,2,2016-03-24 00:18:05.009,2016-03-24 00:20:01.493,2016-03-24 00:20:05.169
1,QID22,4,2,2016-03-23 07:45:21.961,2016-03-24 00:31:02.857,2016-03-24 00:31:08.406
2,QID22,4,1,2016-04-21 01:17:35.841,2016-04-21 01:24:28.469,2016-04-21 01:24:37.306
1,QID22,4,2,2016-04-26 06:32:41.676,2016-04-26 06:33:23.831,2016-04-26 06:33:27.554
